Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Non-Membrane-Bounded Organelle Assembly (GO:0140694),12/135,9.748871007118971e-06,0.0005326674797500837,0,0,5.2121617106582026,60.139793368290285,GRB7;CENPE;CENPF;CENPW;G3BP1;CIRBP;NEK2;PGM5;MAPT;MAPRE1;LSM4;DLGAP5
GO_Biological_Process_2023,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),5/17,1.1898305326387944e-05,0.0006325396372163538,0,0,21.96572580645161,249.07188169807716,CDC20;UBE2C;UBE2S;PLK1;MAD2L1
GO_Biological_Process_2023,Kinetochore Assembly (GO:0051382),4/9,1.4527021921558972e-05,0.0007519645294659605,0,0,42.07613941018767,468.7071575707327,CENPE;CENPF;CENPW;DLGAP5
GO_Biological_Process_2023,Positive Regulation Of Chromosome Segregation (GO:0051984),5/18,1.6220483018554655e-05,0.0008180946178845387,0,0,20.275020678246484,223.61798250164276,CCNB1;CDK1;NCAPG;SMC6;SMC4
GO_Biological_Process_2023,Regulation Of Cytokinesis (GO:0032465),9/80,1.947196871741088e-05,0.00095753406167868,0,0,6.734843845682793,73.04971698813941,RACGAP1;PRC1;PLK1;KIF14;KIF23;KIF20A;ECT2;AURKB;AURKA
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),8/63,2.319398350341491e-05,0.0010910713591781,0,0,7.713426952451343,82.31474316668113,CDC20;CCNB1;STIL;RRM2;UBE2C;CDCA5;CDK1;DLGAP5
GO_Biological_Process_2023,Regulation Of Mitotic Sister Chromatid Separation (GO:0010965),4/10,2.385158538111894e-05,0.0010910713591781,0,0,35.061662198391424,373.18440691077393,CCNB1;BIRC5;CDCA8;AURKB
GO_Biological_Process_2023,Regulation Of Synapse Maturation (GO:0090128),4/10,2.385158538111894e-05,0.0010910713591781,0,0,35.061662198391424,373.18440691077393,CDC20;RELN;ARHGEF15;YWHAZ
GO_Biological_Process_2023,Chromosome Condensation (GO:0030261),6/32,2.580353672100044e-05,0.0011535353802319,0,0,12.189715944432926,128.78433668059958,TOP2A;CDCA5;PLK1;NUSAP1;NCAPG;SMC4
GO_Biological_Process_2023,DNA Unwinding Involved In DNA Replication (GO:0006268),5/20,2.8453487552442063e-05,0.0012437335559034,0,0,17.56989247311828,183.90827812039436,GINS1;CDC45;MCM4;MCM6;MCM2
GO_Biological_Process_2023,Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071),7/49,3.4744949725586136e-05,0.0014857242632658,0,0,8.82027027027027,90.5619162079112,CDC20;CENPE;CCNB1;UBE2C;ACTL6A;PLK1;DLGAP5
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090267),4/11,3.692388704759901e-05,0.0015131101213047,0,0,30.051321332822678,306.7233751044342,BIRC5;CDCA8;NDC80;MAD2L1
GO_Biological_Process_2023,Positive Regulation Of Spindle Checkpoint (GO:0090232),4/11,3.692388704759901e-05,0.0015131101213047,0,0,30.051321332822678,306.7233751044342,BIRC5;CDCA8;NDC80;MAD2L1
GO_Biological_Process_2023,DNA-templated DNA Replication (GO:0006261),8/69,4.539120671249605e-05,0.0018221327266016,0,0,6.952596739082145,69.52730337694186,GINS1;RFC4;CDC45;RFC2;MCM4;MCM10;MCM6;MCM2
GO_Biological_Process_2023,Positive Regulation Of DNA-directed DNA Polymerase Activity (GO:1900264),4/12,5.456295630362328e-05,0.0021044183342985,0,0,26.29356568364611,258.10172575706633,GINS1;PCNA;RFC4;RFC2
GO_Biological_Process_2023,Regulation Of DNA-directed DNA Polymerase Activity (GO:1900262),4/12,5.456295630362328e-05,0.0021044183342985,0,0,26.29356568364611,258.10172575706633,GINS1;PCNA;RFC4;RFC2
GO_Biological_Process_2023,Positive Regulation Of Chromosome Separation (GO:1905820),4/13,7.76428966565283e-05,0.0029369918792959,0,0,23.370866845397675,221.1676390838475,CDCA8;NCAPG;BIRC5;SMC4
GO_Biological_Process_2023,Positive Regulation Of Cytokinesis (GO:0032467),6/39,8.312474279461286e-05,0.0030516977337436,0,0,9.60058809115413,90.19913948593708,RACGAP1;KIF14;CDCA8;BIRC5;KIF23;ECT2
GO_Biological_Process_2023,Regulation Of Mitotic Nuclear Division (GO:0007088),7/56,8.377817876062892e-05,0.0030516977337436,0,0,7.557528957528958,70.94507862579506,CCNB1;CDCA2;CHEK1;NUSAP1;NEK2;MKI67;AURKA
GO_Biological_Process_2023,Positive Regulation Of Transferase Activity (GO:0051347),11/143,8.652382960593138e-05,0.0030944067788157,0,0,4.437841530054645,41.51641000455164,GINS1;RFC4;PCNA;RFC2;PLK1;ERBB2;HNRNPA2B1;UBE2N;MAPK1;NEK2;AURKB
GO_Biological_Process_2023,Establishment Of Chromosome Localization (GO:0051303),4/14,0.0001070869592846044,0.0037614294448717,0,0,21.03270777479893,192.2782665533665,CENPF;KIF2C;FAM83D;NDC80
GO_Biological_Process_2023,GMP Biosynthetic Process (GO:0006177),3/6,0.00012739735739381546,0.0043205276205799,0,0,52.45989304812834,470.47078962770206,GMPS;HPRT1;GART
GO_Biological_Process_2023,Regulation Of Mitotic Cytokinesis (GO:1902412),3/6,0.00012739735739381546,0.0043205276205799,0,0,52.45989304812834,470.47078962770206,BIRC5;CDCA8;AURKB
GO_Biological_Process_2023,Microtubule Polymerization Or Depolymerization (GO:0031109),5/27,0.00013292084007421635,0.0043575882070997,0,0,11.97519550342131,106.88768262831756,KIF18B;KIF14;KIF2C;MAPT;CKAP5
GO_Biological_Process_2023,Positive Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051443),5/27,0.00013292084007421635,0.0043575882070997,0,0,11.97519550342131,106.88768262831756,CDC20;UBE2C;UBE2S;PLK1;UBE2N
